"﻿""Donorregistratie""","""Perioden""","""Regio's""","""Donorregister, vastgelegde keuze (x 1 000)"""
"""Totaal wel of niet geregistreerd""","""2021*""","""Geldrop-Mierlo""","35,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Gemert-Bakel""","26,5"
"""Totaal wel of niet geregistreerd""","""2020""","""Gemert-Bakel""","26,7"
"""Totaal wel of niet geregistreerd""","""2021*""","""Gemert-Bakel""","26,9"
"""Totaal wel of niet geregistreerd""","""2019""","""Gennep""","15,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Gennep""","15,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Gennep""","15,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Gilze en Rijen""","23,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Gilze en Rijen""","23,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Gilze en Rijen""","23,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Goeree-Overflakkee""","43,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Goeree-Overflakkee""","43,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Goeree-Overflakkee""","44,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Goes""","33,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Goes""","33,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Goes""","34,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Goirle""","20,6"
"""Totaal wel of niet geregistreerd""","""2020""","""Goirle""","20,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Goirle""","20,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Gooise Meren""","49,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Gooise Meren""","49,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Gooise Meren""",50
"""Totaal wel of niet geregistreerd""","""2019""","""Gorinchem""",32
"""Totaal wel of niet geregistreerd""","""2020""","""Gorinchem""","32,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Gorinchem""","32,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Gouda""","63,6"
"""Totaal wel of niet geregistreerd""","""2020""","""Gouda""",64
"""Totaal wel of niet geregistreerd""","""2021*""","""Gouda""","64,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Grave""","11,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Grave""",11
